,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
0,Global,,767984989,9852.857944512954,286078,3.6702356627056134,0,6943390,89.080172533622,1340,0.01719152045255321,0
1,United States of America,Americas,103436829,31249.547000000002,0,0.0,0,1127152,340.527,0,0.0,0
2,China,Western Pacific,99277103,6747.637,3275,0.223,0,121237,8.24,1,0.0,0
3,India,South-East Asia,44992960,3260.349,866,0.063,0,531892,38.543,8,0.001,0
4,France,Europe,39068474,60068.971,11471,17.637,0,163787,251.828,56,0.086,0
5,Germany,Europe,38432248,46211.095,1385,1.665,0,174545,209.87400000000002,6,0.006999999999999999,0
6,Brazil,Americas,37625916,17701.363999999998,24659,11.600999999999999,0,703291,330.86800000000005,384,0.18100000000000002,0
7,Japan,Western Pacific,33803572,26727.165,0,0.0,0,74694,59.058,0,0.0,0
8,Republic of Korea,Western Pacific,31904667,62229.71400000001,95581,186.43,0,34893,68.058,58,0.113,0
9,Italy,Europe,25879984,43392.585999999996,2873,4.817,0,190625,319.618,37,0.062,0
10,The United Kingdom,Europe,24470262,36046.108,18,0.027000000000000003,0,226977,334.35,0,0.0,0
11,Russian Federation,Europe,22949243,15725.719,6785,4.649,0,399339,273.643,113,0.077,0
12,Türkiye,Europe,17004677,20162.278000000002,0,0.0,0,101419,120.25200000000001,0,0.0,0
13,Spain,Europe,13890555,29346.689,0,0.0,0,121416,256.517,0,0.0,0
14,Viet Nam,Western Pacific,11617985,11935.643,2934,3.014,0,43206,44.387,0,0.0,0
15,Australia,Western Pacific,11454548,44920.0,0,0.0,0,21303,83.542,240,0.941,0
16,Argentina,Americas,10044957,22225.433999999997,0,0.0,0,130472,288.682,0,0.0,0
17,Netherlands,Europe,8610372,49463.335,0,0.0,0,22992,132.08,0,0.0,0
18,Mexico,Americas,7627222,5915.659000000001,2490,1.931,0,334240,259.236,19,0.015,0
19,Iran (Islamic Republic of),Eastern Mediterranean,7612001,9062.667,0,0.0,0,146273,174.149,0,0.0,0
20,Indonesia,South-East Asia,6810417,2489.883,1040,0.38,0,161830,59.165,19,0.006999999999999999,0
21,Poland,Europe,6517486,17170.194,192,0.506,0,119622,315.142,3,0.008,0
22,Colombia,Americas,6369916,12518.778,982,1.93,0,142780,280.605,15,0.028999999999999998,0
23,Greece,Europe,6095350,56867.221,0,0.0,0,37052,345.681,0,0.0,0
24,Austria,Europe,6079122,68296.577,880,9.886000000000001,0,22518,252.981,1,0.011000000000000001,0
25,Portugal,Europe,5590870,54301.859000000004,536,5.206,0,26824,260.531,13,0.126,0
26,Ukraine,Europe,5557995,12708.706,0,0.0,0,112418,257.051,0,0.0,0
27,Chile,Americas,5287806,27661.385,210,1.099,0,61546,321.957,18,0.094,0
28,Malaysia,Western Pacific,5108586,15783.803999999998,8337,25.759,0,37110,114.65700000000001,23,0.071,0
29,Israel,Europe,4827640,55775.139,478,5.522,0,12552,145.017,5,0.057999999999999996,0
30,Belgium,Europe,4800312,41660.551,48,0.41700000000000004,0,34360,298.20099999999996,0,0.0,0
31,Thailand,South-East Asia,4747752,6801.939,2709,3.8810000000000002,0,34232,49.043,69,0.099,0
32,Canada,Americas,4684456,12411.735,2742,7.265,0,52751,139.767,54,0.14300000000000002,0
33,Czechia,Europe,4642442,43411.899000000005,124,1.16,0,42806,400.283,1,0.009000000000000001,0
34,Peru,Americas,4507363,13670.335,0,0.0,0,220673,669.2769999999999,0,0.0,0
35,Switzerland,Europe,4406322,50912.958,0,0.0,0,14020,161.994,0,0.0,0
36,Philippines,Western Pacific,4155758,3792.405,5577,5.0889999999999995,0,66481,60.668,0,0.0,0
37,South Africa,Africa,4072533,6866.672,0,0.0,0,102595,172.985,0,0.0,0
38,Denmark,Europe,3414069,58633.144,176,3.023,0,8736,150.032,15,0.258,0
39,Romania,Europe,3406169,17622.213,963,4.982,0,68217,352.92900000000003,24,0.124,0
40,Sweden,Europe,2710948,26249.572999999997,0,0.0,0,24391,236.173,0,0.0,0
41,Serbia,Europe,2542941,36712.131,453,6.54,0,18057,260.687,1,0.013999999999999999,0
42,Singapore,Western Pacific,2482839,42439.210999999996,8531,145.821,0,1722,29.434,0,0.0,0
43,Iraq,Eastern Mediterranean,2465545,6129.767,0,0.0,0,25375,63.086999999999996,0,0.0,0
44,New Zealand,Western Pacific,2397065,49708.61,90122,1868.885,0,3038,63.0,96,1.9909999999999999,0
45,Hungary,Europe,2202990,22549.61,0,0.0,0,48790,499.41,0,0.0,0
46,Bangladesh,South-East Asia,2040681,1239.109,667,0.405,0,29452,17.883,1,0.001,0
47,Slovakia,Europe,1866857,34204.845,0,0.0,0,21167,387.825,0,0.0,0
48,Georgia,Europe,1843707,46217.752,0,0.0,0,17087,428.334,0,0.0,0
49,Jordan,Eastern Mediterranean,1746997,17122.161,0,0.0,0,14122,138.408,0,0.0,0
50,Ireland,Europe,1712938,34504.154,0,0.0,0,8998,181.24900000000002,22,0.44299999999999995,0
51,Pakistan,Eastern Mediterranean,1580631,715.566,0,0.0,0,30656,13.878,0,0.0,0
52,Kazakhstan,Europe,1502857,8003.8369999999995,0,0.0,0,19072,101.573,0,0.0,0
53,Norway,Europe,1485364,27672.881,156,2.906,0,5556,103.51,0,0.0,0
54,Finland,Europe,1480896,26802.131,13,0.235,0,9798,177.33,0,0.0,0
55,Slovenia,Europe,1344388,64144.903,0,0.0,0,9379,447.501,0,0.0,0
56,Lithuania,Europe,1320970,47277.289000000004,195,6.979,0,9689,346.76800000000003,2,0.07200000000000001,0
57,Bulgaria,Europe,1308334,18820.936,331,4.762,0,38405,552.472,6,0.086,0
58,Morocco,Eastern Mediterranean,1274180,3452.074,0,0.0,0,16297,44.153,0,0.0,0
59,Croatia,Europe,1273907,31391.208,36,0.887,0,18267,450.13,1,0.025,0
60,Guatemala,Americas,1255153,7005.935,1874,10.46,0,20204,112.773,2,0.011000000000000001,0
61,Puerto Rico,Americas,1252713,43788.094000000005,0,0.0,0,5938,207.56,0,0.0,0
62,Lebanon,Eastern Mediterranean,1238364,18143.343999999997,0,0.0,0,10930,160.136,0,0.0,0
63,Costa Rica,Americas,1234384,24231.555,902,17.707,0,9382,184.173,3,0.059000000000000004,0
64,Bolivia (Plurinational State of),Americas,1200454,10284.004,760,6.511,0,22386,191.77599999999998,2,0.017,0
65,Tunisia,Eastern Mediterranean,1153361,9758.847,0,0.0,0,29423,248.955,0,0.0,0
66,Cuba,Americas,1114459,9839.294,150,1.324,0,8530,75.309,0,0.0,0
67,United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0.0,0,2349,23.75,0,0.0,0
68,Ecuador,Americas,1062275,6020.925,0,0.0,0,36019,204.15400000000002,0,0.0,0
69,Panama,Americas,1041329,24134.072999999997,1099,25.471,0,8630,200.011,6,0.139,0
70,Uruguay,Americas,1038774,29903.706000000002,0,0.0,0,7634,219.764,0,0.0,0
71,Mongolia,Western Pacific,1010034,30809.782000000003,0,0.0,0,2136,65.156,0,0.0,0
72,Nepal,South-East Asia,1003356,3443.603,3,0.01,0,12031,41.291000000000004,0,0.0,0
73,Belarus,Europe,994037,10519.666000000001,0,0.0,0,7118,75.328,0,0.0,0
74,Latvia,Europe,978074,51270.473,31,1.625,0,6377,334.281,1,0.052000000000000005,0
75,Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0.0,0,9646,27.706999999999997,0,0.0,0
76,Azerbaijan,Europe,831881,8204.622,16,0.158,0,10280,101.389,3,0.03,0
77,Paraguay,Americas,735759,10315.529,0,0.0,0,19880,278.723,0,0.0,0
78,"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0.0,0,5708,111.891,0,0.0,0
79,Bahrain,Eastern Mediterranean,696614,40939.365,0,0.0,0,1536,90.26899999999999,0,0.0,0
80,Sri Lanka,South-East Asia,672518,3140.663,23,0.107,0,16876,78.811,0,0.0,0
81,Kuwait,Eastern Mediterranean,665955,15594.051000000001,13,0.304,0,2570,60.178999999999995,0,0.0,0
82,Dominican Republic,Americas,661596,6098.834,420,3.872,0,4384,40.413000000000004,0,0.0,0
83,Cyprus,Europe,660854,74420.076,0,0.0,0,1364,153.60299999999998,0,0.0,0
84,Myanmar,South-East Asia,639740,1175.781,361,0.6629999999999999,0,19494,35.828,0,0.0,0
85,Republic of Moldova,Europe,620656,15385.763,0,0.0,0,12123,300.52299999999997,0,0.0,0
86,Estonia,Europe,619118,46586.093,76,5.718999999999999,0,3001,225.813,0,0.0,0
87,Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0.0,0,5856,20.594,0,0.0,0
88,Egypt,Eastern Mediterranean,516023,504.25199999999995,0,0.0,0,24830,24.264,0,0.0,0
89,Qatar,Eastern Mediterranean,514045,17842.261000000002,256,8.886000000000001,0,690,23.95,0,0.0,0
90,Libya,Eastern Mediterranean,507264,7382.366999999999,0,0.0,0,6437,93.68,0,0.0,0
91,Ethiopia,Africa,500918,435.719,8,0.006999999999999999,0,7574,6.587999999999999,0,0.0,0
