Country or Area;Alpha-3 code-1;Cumulative persons vaccinated with at least one dose per 100 population
Aruba;ABW;84.717003
Afghanistan;AFG;44.097
Angola;AGO;47.909
Anguilla;AIA;72.349998
Albania;ALB;47.379002
Andorra;AND;76.019997
United Arab Emirates;ARE;101.018
Argentina;ARG;91.433998
Armenia;ARM;37.865002
American Samoa;ASM;83.710999
Antigua and Barbuda;ATG;65.650002
Australia;AUS;87.183998
Austria;AUT;77.625
Azerbaijan;AZE;53.594002
Burundi;BDI;0.31
Belgium;BEL;80.316002
Benin;BEN;30.497
Burkina Faso;BFA;24.646999
Bangladesh;BGD;91.904999
Bulgaria;BGR;30.329
Bahrain;BHR;72.943001
Bahamas;BHS;44.452999
Bosnia and Herzegovina;BIH;28.754999
Saint Barthélemy;BLM;
Belarus;BLR;68.139999
Belize;BLZ;64.999001
Bermuda;BMU;77.970001
Bolivia (Plurinational State of);BOL;64.186996
Brazil;BRA;88.796997
Barbados;BRB;57.014999
Brunei Darussalam;BRN;103.098
Bhutan;BTN;90.605003
Botswana;BWA;82.966003
Central African Republic;CAF;49.318001
Canada;CAN;86.495003
Switzerland;CHE;70.839996
Chile;CHL;94.720001
China;CHN;89.581001
Côte d'Ivoire;CIV;51.438
Cameroon;CMR;13.774
Democratic Republic of the Congo;COD;17.183001
Congo;COG;12.609
Cook Islands;COK;86.040001
Colombia;COL;84.531998
Comoros;COM;50.463001
Cabo Verde;CPV;64.162003
Costa Rica;CRI;91.123001
Cuba;CUB;94.900002
Curaçao;CUW;66.182999
Cayman Islands;CYM;94.469002
Cyprus;CYP;75.365997
Czechia;CZE;65.196999
Germany;DEU;77.997002
Djibouti;DJI;37.66
Dominica;DMA;45.832001
Denmark;DNK;81.946999
Dominican Republic;DOM;67.503998
Algeria;DZA;17.879
Ecuador;ECU;86.885002
Egypt;EGY;55.609001
Eritrea;ERI;0
Western Sahara;ESH;
Spain;ESP;87.310997
Estonia;EST;63.588001
Ethiopia;ETH;38.337002
Finland;FIN;82.299004
Fiji;FJI;79.428001
Falkland Islands (Malvinas);FLK;92.448997
France;FRA;81.213997
Faroe Islands;FRO;85.367996
Micronesia (Federated States of);FSM;72.917
Gabon;GAB;13.984
United Kingdom of Great Britain and Northern Ireland;GBR;79.068001
Georgia;GEO;32.599998
Guernsey;GGY;84.108002
Ghana;GHA;42.549999
Gibraltar;GIB;125.182
Guinea;GIN;58.479
Guadeloupe;GLP;38.015999
Gambia;GMB;27.903
Guinea-Bissau;GNB;37.259998
Equatorial Guinea;GNQ;19.252001
Greece;GRC;73.856003
Grenada;GRD;39.317001
Greenland;GRL;72.619003
Guatemala;GTM;49.874001
French Guiana;GUF;33.581001
Guam;GUM;80.350998
Guyana;GUY;62.969002
China, Hong Kong Special Administrative Region;HKG;
Honduras;HND;65.481003
Croatia;HRV;57.205002
Haiti;HTI;4.573
Hungary;HUN;65.084999
Indonesia;IDN;74.526001
Isle of Man;IMN;81.804001
India;IND;74.334999
Ireland;IRL;85.489998
Iran (Islamic Republic of);IRN;77.613998
Iraq;IRQ;28.176001
Iceland;ISL;84.403
Israel;ISR;81.514
Italy;ITA;84.811996
Jamaica;JAM;28.976
Jersey;JEY;78.264
Jordan;JOR;47.256001
Japan;JPN;82.793999
Kazakhstan;KAZ;65.963997
Kenya;KEN;26.955999
Kyrgyzstan;KGZ;23.129
Cambodia;KHM;91.456001
Kiribati;KIR;84.471001
Saint Kitts and Nevis;KNA;63.532001
Republic of Korea;KOR;87.566002
Kuwait;KWT;80.953003
Lao People's Democratic Republic;LAO;86.93
