location,year,iso_code,Total Cases,population,"Total Cases per 100,000"
Afghanistan,2020,AFG,8443748.0,41128772,20530.027008829733
Afghanistan,2021,AFG,39510520.0,41128772,96065.40161228251
Afghanistan,2022,AFG,67741123.0,41128772,164704.9491290428
Afghanistan,2023,AFG,35081108.0,41128772,85295.78271872546
Africa,2020,OWID_AFR,292767009.0,1426736614,20520.04596554077
Africa,2021,OWID_AFR,2242424132.0,1426736614,157171.55570243186
Africa,2022,OWID_AFR,4490013369.0,1426736614,314705.1337255441
Africa,2023,OWID_AFR,2155280421.0,1426736614,151063.65112180405
Albania,2020,ALB,3611517.0,2842318,127062.38358973205
Albania,2021,ALB,50804812.0,2842318,1787442.925105495
Albania,2022,ALB,107591792.0,2842318,3785353.7851851904
Albania,2023,ALB,55057259.0,2842318,1937054.8615601773
Algeria,2020,DZA,10482230.0,44903228,23344.04555503226
Algeria,2021,DZA,57054531.0,44903228,127061.09012919961
Algeria,2022,DZA,96479048.0,44903228,214859.93835454324
Algeria,2023,DZA,44807681.0,44903228,99787.21574315325
American Samoa,2020,ASM,0.0,44295,0.0
American Samoa,2021,ASM,594.0,44295,1341.0091432441584
American Samoa,2022,ASM,2061042.0,44295,4652990.179478496
American Samoa,2023,ASM,1373334.0,44295,3100426.684727396
Andorra,2020,AND,675517.0,79843,846056.6361484414
Andorra,2021,AND,5070326.0,79843,6350370.101323849
Andorra,2022,AND,15512880.0,79843,19429229.86360733
Andorra,2023,AND,7905760.0,79843,9901631.952707186
Angola,2020,AGO,1326113.0,35588996,3726.188285839814
Angola,2021,AGO,14729111.0,35588996,41386.69997883616
Angola,2022,AGO,36787188.0,35588996,103366.74853092231
Angola,2023,AGO,17373822.0,35588996,48817.96047295068
Anguilla,2020,AIA,1049.0,15877,6607.04163255023
Anguilla,2021,AIA,129088.0,15877,813050.3243685835
Anguilla,2022,AIA,1183015.0,15877,7451124.26780878
Anguilla,2023,AIA,644160.0,15877,4057189.645399005
Antigua and Barbuda,2020,ATG,22547.0,93772,24044.49089280382
Antigua and Barbuda,2021,ATG,684001.0,93772,729429.8937849251
Antigua and Barbuda,2022,ATG,2973620.0,93772,3171117.177835601
Antigua and Barbuda,2023,ATG,1502490.0,93772,1602279.9982937337
Argentina,2020,ARG,156512035.0,45510324,343904.46220510313
Argentina,2021,ARG,1471656467.0,45510324,3233676.092923443
Argentina,2022,ARG,3360109943.0,45510324,7383181.7655264335
Argentina,2023,ARG,1656211105.0,45510324,3639198.6684164237
Armenia,2020,ARM,14552901.0,2780472,523396.78299224016
Armenia,2021,ARM,86241547.0,2780472,3101687.303450637
Armenia,2022,ARM,154304332.0,2780472,5549573.309855306
Armenia,2023,ARM,73870481.0,2780472,2656760.47088408
Aruba,2020,ABW,558468.0,106459,524585.0515221823
Aruba,2021,ABW,4325845.0,106459,4063390.60107647
Aruba,2022,ABW,14048103.0,106459,13195787.110530816
Aruba,2023,ABW,7272424.0,106459,6831196.986633351
Asia,2020,OWID_ASI,2111093353.0,4721383370,44713.44916437066
Asia,2021,OWID_ASI,19709385277.0,4721383370,417449.37304254534
Asia,2022,OWID_ASI,57424287548.0,4721383370,1216259.7918414746
Asia,2023,OWID_ASI,48601319206.0,4721383370,1029387.266342661
Australia,2020,AUS,5043709.0,26177410,19267.410335858283
Australia,2021,AUS,28234271.0,26177410,107857.38925279469
Australia,2022,AUS,2586678271.0,26177410,9881337.653343093
Australia,2023,AUS,1837002134.0,26177410,7017509.119504183
Austria,2020,AUT,20850385.0,8939617,233235.77508969343
Austria,2021,AUT,246965710.0,8939617,2762598.3305548774
Austria,2022,AUT,1539834661.0,8939617,17224839.285620403
Austria,2023,AUT,981795647.0,8939617,10982524.721137382
Azerbaijan,2020,AZE,12512631.0,10358078,120800.70260138996
Azerbaijan,2021,AZE,137039996.0,10358078,1323025.3334643743
Azerbaijan,2022,AZE,286676807.0,10358078,2767664.107182819
Azerbaijan,2023,AZE,136882632.0,10358078,1321506.09408425
Bahamas,2020,BHS,762513.0,409989,185983.77029627623
Bahamas,2021,BHS,5352732.0,409989,1305579.4179843848
Bahamas,2022,BHS,12821276.0,409989,3127224.3889470203
Bahamas,2023,BHS,6221028.0,409989,1517364.6122213034
Bahrain,2020,BHR,12839855.0,1472237,872132.3401055672
Bahrain,2021,BHR,79477421.0,1472237,5398412.1442403635
Bahrain,2022,BHR,216515516.0,1472237,14706566.673708105
Bahrain,2023,BHR,114941310.0,1472237,7807255.896978543
Bangladesh,2020,BGD,68809580.0,171186368,40195.712312793505
Bangladesh,2021,BGD,387484115.0,171186368,226352.20288101444
Bangladesh,2022,BGD,714519380.0,171186368,417392.6863148355
Bangladesh,2023,BGD,336291054.0,171186368,196447.33276892704
Barbados,2020,BRB,44605.0,281646,15837.256698124596
Barbados,2021,BRB,2875266.0,281646,1020879.4018022624
Barbados,2022,BRB,29327993.0,281646,10413069.24295037
Barbados,2023,BRB,17641789.0,281646,6263816.635066715
Belarus,2020,BLR,20245369.0,9534956,212327.8702072668
Belarus,2021,BLR,158155029.0,9534956,1658686.5109812778
Belarus,2022,BLR,346714289.0,9534956,3636244.2469582446
Belarus,2023,BLR,164016105.0,9534956,1720155.8664769926
Belgium,2020,BEL,54224978.0,11655923,465213.9345807278
Belgium,2021,BEL,410695672.0,11655923,3523493.351834943
Belgium,2022,BEL,1496399302.0,11655923,12838102.156302853
Belgium,2023,BEL,784534099.0,11655923,6730776.267139033
Belize,2020,BLZ,556359.0,405285,137275.99096931788
Belize,2021,BLZ,6220900.0,405285,1534944.54519659
Belize,2022,BLZ,22465622.0,405285,5543166.413758219
Belize,2023,BLZ,11663566.0,405285,2877867.6733656563
Benin,2020,BEN,460408.0,13352864,3448.0093558954845
Benin,2021,BEN,4641040.0,13352864,34756.88811029604
Benin,2022,BEN,9905203.0,13352864,74180.36310412508
Benin,2023,BEN,4620959.0,13352864,34606.50089748536
Bermuda,2020,BMU,51040.0,64207,79492.89018331334
Bermuda,2021,BMU,1075087.0,64207,1674407.7748532093
Bermuda,2022,BMU,5530655.0,64207,8613788.216238104
Bermuda,2023,BMU,3104204.0,64207,4834681.576775118
Bhutan,2020,BTN,53205.0,782457,6799.734681905843
Bhutan,2021,BTN,674167.0,782457,86160.26184186479
Bhutan,2022,BTN,17357493.0,782457,2218331.8699941337
Bhutan,2023,BTN,10334279.0,782457,1320747.2103898362
Bolivia,2020,BOL,22310698.0,12224114,182513.82472382046
Bolivia,2021,BOL,143937862.0,12224114,1177491.1621406672
Bolivia,2022,BOL,356874872.0,12224114,2919433.4411475547
Bolivia,2023,BOL,196687687.0,12224114,1609013.8475475605
Bonaire Sint Eustatius and Saba,2020,BES,17002.0,27052,62849.3272216472
Bonaire Sint Eustatius and Saba,2021,BES,594267.0,27052,2196758.0955197397
Bonaire Sint Eustatius and Saba,2022,BES,3532345.0,27052,13057611.267189117
Bonaire Sint Eustatius and Saba,2023,BES,1953609.0,27052,7221680.467248263
Bosnia and Herzegovina,2020,BIH,7943118.0,3233530,245648.50179215902
Bosnia and Herzegovina,2021,BIH,73517775.0,3233530,2273607.3269770187
Bosnia and Herzegovina,2022,BIH,138555958.0,3233530,4284975.181921924
Bosnia and Herzegovina,2023,BIH,66379762.0,3233530,2052857.4653706632
Botswana,2020,BWA,928131.0,2630300,35286.12705775007
Botswana,2021,BWA,37397889.0,2630300,1421810.7820400714
Botswana,2022,BWA,112616438.0,2630300,4281505.455651447
Botswana,2023,BWA,54387331.0,2630300,2067723.491616926
